Date,Time,Temp[C],pH ,pH[mV],ORP[mV],EC[muS per cm],EC Abs.[muS per cm],RES[Ohm-cm],TDS[ppm],Sal.[psu],Sigma T,Press[psi],D.O.[percent],D.O.[ppm],Turb[FNU],Ni[ppm],Ni[mV],Am[ppm],Am[mV],CHL-a [RFU],CDOM [RFU],Tryptophan [RFU],CHL-a [mg per m3],CDOM [ppb],Tryptophan [ppb],GPS Lat.,GPS Long.
10/11/17,7:04:17,28.03,8.32,-80.3,-16.6,15050,15920,66,7527,8.72,2.7,14.641,107.9,8.04,6.3,59.4,140.5,,,,,,,,,16.4396,81.70868
10/11/17,7:04:27,28.02,8.33,-80.5,-16.8,14860,15720,67,7434,8.6,2.7,14.64,108.1,8.05,5.4,59.4,140.5,,,,,,,,,16.4396,81.70868
10/11/17,7:04:37,28.02,8.33,-80.5,-16.7,14780,15630,68,7392,8.55,2.6,14.64,107.8,8.03,4.3,59.1,140.6,,,,,,,,,16.4396,81.70868
10/11/17,7:04:47,28.03,8.33,-80.5,-16.4,14830,15680,67,7417,8.58,2.6,14.641,109.5,8.16,4.7,59,140.7,,,,,,,,,16.43958,81.70868
10/11/17,7:04:57,28.02,8.33,-80.9,-16.8,14390,15220,69,7199,8.31,2.4,14.642,111.3,8.3,4.8,58.9,140.8,,,,,,,,,16.43957,81.70877
10/11/17,7:05:07,27.95,8.36,-82.4,-18.8,12930,13650,77,6465,7.4,1.8,14.644,113.9,8.55,5,58.6,140.9,,,,,,,,,16.43953,81.7089
10/11/17,7:05:17,27.93,8.35,-81.7,-18.7,12590,13290,79,6296,7.19,1.6,14.643,113.6,8.54,8.6,55.9,142.5,,,,,,,,,16.43946,81.70907
10/11/17,7:05:27,27.93,8.35,-81.9,-18.4,12550,13250,80,6277,7.16,1.6,14.642,116.2,8.74,3.5,55,143,,,,,,,,,16.4394,81.70925
10/11/17,7:05:37,27.97,8.38,-83.3,-17.7,12800,13520,78,6403,7.32,1.7,14.637,118.6,8.9,4.3,54.6,143.3,,,,,,,,,16.43936,81.7094
10/11/17,7:05:47,27.98,8.39,-84.1,-17.3,12730,13450,79,6367,7.27,1.7,14.637,119.4,8.96,14.2,54.7,143.2,,,,,,,,,16.43934,81.70959
10/11/17,7:05:57,27.97,8.4,-84.8,-17.6,12420,13120,80,6213,7.08,1.5,14.637,120.1,9.03,5.7,54.7,143.2,,,,,,,,,16.43931,81.70977
10/11/17,7:06:07,27.99,8.4,-84.9,-17.1,12360,13060,81,6183,7.05,1.5,14.639,120.8,9.08,5.3,54,143.6,,,,,,,,,16.43928,81.70994
10/11/17,7:06:17,27.99,8.41,-85,-16.6,12420,13120,81,6210,7.08,1.5,14.64,121.3,9.11,6.3,53.9,143.7,,,,,,,,,16.43928,81.71011
10/11/17,7:06:27,28.02,8.4,-84.9,-16,12600,13320,79,6302,7.19,1.6,14.642,121.5,9.12,3.1,53.9,143.7,,,,,,,,,16.43932,81.71024
10/11/17,7:06:37,27.98,8.41,-85.2,-16,12330,13030,81,6167,7.03,1.5,14.642,121.8,9.15,3.1,53.9,143.7,,,,,,,,,16.4394,81.71034
10/11/17,7:06:47,27.96,8.41,-85.3,-15.7,12250,12940,82,6125,6.98,1.5,14.644,122,9.18,5.6,53.6,143.9,,,,,,,,,16.43952,81.71038
10/11/17,7:06:57,27.96,8.41,-85.3,-15.3,12210,12890,82,6106,6.95,1.4,14.643,122.2,9.2,4.8,53.4,144,,,,,,,,,16.43966,81.71034
10/11/17,7:07:07,27.97,8.41,-85.3,-14.9,12210,12900,82,6110,6.96,1.4,14.642,122.4,9.21,3.8,53.3,144.1,,,,,,,,,16.43977,81.71028
10/11/17,7:07:17,27.96,8.41,-85.4,-14.7,12110,12790,83,6058,6.89,1.4,14.642,122.5,9.22,3.7,53.1,144.2,,,,,,,,,16.43995,81.71016
10/11/17,7:07:27,27.96,8.41,-85,-13.7,12620,13330,79,6312,7.21,1.6,14.644,122.6,9.21,3.8,53,144.3,,,,,,,,,16.44006,81.71004
10/11/17,7:07:37,27.95,8.41,-84.9,-13.5,12520,13220,80,6260,7.14,1.6,14.645,122.5,9.21,21.5,52.9,144.3,,,,,,,,,16.4401,81.71
10/11/17,7:07:47,27.93,8.41,-85,-13.3,12440,13130,80,6220,7.09,1.6,14.645,122.4,9.21,7.2,53.3,144.1,,,,,,,,,16.4401,81.71
10/11/17,7:07:57,27.94,8.39,-84.1,-12.8,12620,13330,79,6313,7.21,1.6,14.644,121,9.1,9,53.5,143.9,,,,,,,,,16.44044,81.70961
10/11/17,7:08:07,27.94,8.38,-83.6,-12.6,12580,13280,79,6290,7.18,1.6,14.643,119.7,9,4.9,53.8,143.8,,,,,,,,,16.44053,81.70965
10/11/17,7:08:17,27.93,8.38,-83.5,-12.7,12440,13130,80,6223,7.1,1.6,14.643,120.1,9.03,4.4,53.8,143.8,,,,,,,,,16.44058,81.70973
10/11/17,7:08:27,27.93,8.39,-84.1,-12.6,12360,13040,81,6181,7.04,1.5,14.646,121.7,9.16,3.8,53.3,144,,,,,,,,,16.4406,81.70988
10/11/17,7:08:37,27.95,8.4,-84.4,-12.6,12220,12910,82,6113,6.96,1.5,14.644,122,9.18,4.5,53.1,144.2,,,,,,,,,16.44062,81.71003
10/11/17,7:08:47,27.92,8.41,-85.1,-12.9,12090,12770,83,6049,6.88,1.4,14.643,122.3,9.21,3.9,53.1,144.2,,,,,,,,,16.44061,81.71022
10/11/17,7:08:57,27.95,8.4,-84.9,-12.2,12240,12920,82,6121,6.97,1.5,14.643,122.7,9.24,5.5,52.7,144.5,,,,,,,,,16.4406,81.71039
10/11/17,7:09:07,27.92,8.41,-85.4,-12.4,11920,12580,84,5961,6.77,1.3,14.644,122.8,9.25,19.3,52.5,144.6,,,,,,,,,16.44058,81.71057
10/11/17,7:09:17,27.92,8.41,-85.5,-12.1,11860,12520,84,5935,6.74,1.3,14.646,122.9,9.26,3.6,52,144.9,,,,,,,,,16.44056,81.71076
10/11/17,7:09:27,27.92,8.41,-85.3,-11.6,12000,12660,83,6000,6.82,1.4,14.643,122.8,9.26,4.7,52.1,144.8,,,,,,,,,16.44055,81.71096
10/11/17,7:09:37,27.94,8.41,-85,-10.8,12310,13000,81,6159,7.02,1.5,14.643,122.9,9.25,8.1,52.2,144.8,,,,,,,,,16.44054,81.71116
10/11/17,7:09:47,27.93,8.39,-84.2,-9.2,13630,14390,73,6818,7.83,2.1,14.643,122.7,9.19,3.5,52.6,144.5,,,,,,,,,16.44058,81.71131
10/11/17,7:09:57,28.06,8.38,-83.3,-7.6,14290,15120,70,7146,8.24,2.4,14.643,122.7,9.16,3.4,53,144.3,,,,,,,,,16.44072,81.71138
10/11/17,7:10:07,28.09,8.38,-83.7,-8.1,14010,14830,71,7006,8.07,2.2,14.642,122.9,9.17,3.1,56.1,142.4,,,,,,,,,16.44089,81.71135
10/11/17,7:10:17,27.94,8.41,-85.4,-10.5,12220,12910,82,6114,6.96,1.5,14.643,123.2,9.27,3,56,142.5,,,,,,,,,16.44105,81.71131
10/11/17,7:10:27,27.82,8.43,-86.1,-11.3,11600,12230,86,5805,6.58,1.2,14.64,123.1,9.3,3.7,54.2,143.5,,,,,,,,,16.44119,81.71122
10/11/17,7:10:37,27.85,8.43,-86.1,-11.1,11470,12090,87,5739,6.5,1.1,14.639,123.1,9.3,3.7,52.2,144.7,,,,,,,,,16.44136,81.71109
10/11/17,7:10:47,27.89,8.42,-85.9,-10.6,11570,12210,86,5789,6.56,1.2,14.64,123.5,9.32,5.4,51.7,145,,,,,,,,,16.44149,81.71098
10/11/17,7:10:57,27.92,8.42,-85.8,-10.1,11670,12320,86,5839,6.63,1.2,14.641,123.7,9.33,3.7,51.8,145,,,,,,,,,16.44164,81.7108
10/11/17,7:11:07,27.91,8.42,-85.7,-9.7,11710,12360,85,5856,6.65,1.2,14.641,123.6,9.32,12.5,51.6,145.1,,,,,,,,,16.44176,81.71066
10/11/17,7:11:17,27.93,8.41,-85.5,-9,11800,12460,85,5902,6.7,1.3,14.639,123.7,9.32,3.2,51.5,145.2,,,,,,,,,16.44189,81.71046
10/11/17,7:11:27,27.93,8.41,-85.4,-8.6,12020,12690,83,6012,6.84,1.4,14.64,123.2,9.27,6.1,51.9,145,,,,,,,,,16.44201,81.71035
10/11/17,7:11:37,27.93,8.41,-85.3,-8.7,11870,12530,84,5938,6.75,1.3,14.64,122.7,9.25,4,52.2,144.8,,,,,,,,,16.44218,81.71035
10/11/17,7:11:47,27.94,8.41,-85.3,-8.3,12000,12670,83,6002,6.82,1.4,14.64,123.1,9.27,3.2,52.1,144.8,,,,,,,,,16.44224,81.71039
10/11/17,7:11:57,27.81,8.44,-86.7,-9.9,10970,11550,91,5486,6.2,0.9,14.641,123.2,9.33,4.9,51.3,145.3,,,,,,,,,16.44224,81.71039
10/11/17,7:12:07,27.86,8.44,-86.8,-9.8,10770,11360,93,5389,6.08,0.8,14.641,123.3,9.34,6.4,50.7,145.7,,,,,,,,,16.44221,81.71089
10/11/17,7:12:17,27.8,8.44,-86.6,-9.3,10890,11470,92,5447,6.15,0.9,14.642,123.6,9.36,5.6,49.8,146.3,,,,,,,,,16.44214,81.71107
10/11/17,7:12:27,27.86,8.43,-86.4,-8.7,10950,11550,91,5478,6.19,0.9,14.644,123.5,9.35,3.8,48.6,147.1,,,,,,,,,16.44206,81.71128
10/11/17,7:12:37,27.88,8.43,-86.2,-8.1,11150,11760,90,5576,6.3,1,14.643,123.6,9.35,3.9,49.1,146.7,,,,,,,,,16.44198,81.71149
10/11/17,7:12:47,27.84,8.43,-86.6,-8.4,10850,11430,92,5426,6.12,0.9,14.642,123.6,9.36,5.4,48.9,146.9,,,,,,,,,16.4419,81.71167
10/11/17,7:12:57,27.78,8.43,-86.3,-7.7,11040,11630,91,5523,6.24,1,14.641,123.3,9.34,2.7,49.1,146.8,,,,,,,,,16.44189,81.71183
10/11/17,7:13:07,27.94,8.41,-85.4,-6.3,11680,12330,86,5842,6.63,1.2,14.641,123.3,9.3,3,49.1,146.8,,,,,,,,,16.44199,81.71185
10/11/17,7:13:17,27.84,8.43,-86.4,-7.4,11030,11630,91,5519,6.23,0.9,14.643,123.6,9.35,9.1,50.3,146,,,,,,,,,16.44212,81.71176
10/11/17,7:13:27,27.88,8.42,-86,-6.5,11210,11820,89,5606,6.34,1,14.642,123.8,9.35,4.2,49.2,146.7,,,,,,,,,16.44226,81.71162
10/11/17,7:13:37,27.92,8.42,-85.5,-5.5,11660,12300,86,5831,6.61,1.2,14.642,123.7,9.33,3,49.7,146.4,,,,,,,,,16.44243,81.71149
10/11/17,7:13:47,27.91,8.42,-85.6,-5.4,11660,12310,86,5833,6.62,1.2,14.642,123.7,9.33,4.1,50.4,145.9,,,,,,,,,16.4426,81.71135
10/11/17,7:13:57,27.97,8.41,-85.5,-5.1,11740,12400,85,5873,6.67,1.2,14.641,124.1,9.35,3.7,50.6,145.8,,,,,,,,,16.44277,81.71124
10/11/17,7:14:07,27.96,8.42,-85.7,-5.1,11640,12300,86,5824,6.61,1.2,14.641,124.3,9.37,4.1,50.8,145.7,,,,,,,,,16.44292,81.71112
10/11/17,7:14:17,27.99,8.41,-85.4,-4.6,11870,12550,84,5939,6.75,1.3,14.643,124.1,9.34,4,50.9,145.6,,,,,,,,,16.44312,81.71098
10/11/17,7:14:27,27.97,8.41,-85.5,-4.5,11910,12580,84,5959,6.77,1.3,14.645,124,9.34,5,51,145.6,,,,,,,,,16.4433,81.71096
10/11/17,7:14:37,27.86,8.43,-86.3,-5.8,10900,11490,92,5451,6.15,0.9,14.644,122.2,9.25,9,50.8,145.7,,,,,,,,,16.44346,81.711
10/11/17,7:14:47,27.86,8.31,-79.7,-9.3,8574,9039,117,4287,4.75,0,14.643,99.6,7.59,15.7,49.9,146.2,,,,,,,,,16.44362,81.71105
10/11/17,7:14:57,27.88,8.18,-72.2,-11.5,6729,7097,149,3365,3.66,0,14.643,88.1,6.76,16.2,46,149,,,,,,,,,16.44386,81.71105
10/11/17,7:15:07,27.87,8.06,-65.2,-11.1,5998,6325,167,2999,3.24,0,14.646,81.5,6.26,16.3,40.1,153.7,,,,,,,,,16.44401,81.711
10/11/17,7:15:17,27.86,7.96,-59.8,-9.6,5738,6049,174,2869,3.09,0,14.644,77.8,5.99,20.2,37.2,156.2,,,,,,,,,16.44416,81.71091
10/11/17,7:15:27,27.87,7.88,-55.5,-7.7,5744,6057,174,2872,3.09,0,14.644,75,5.77,17.3,35,158.3,,,,,,,,,16.44433,81.71076
10/11/17,7:15:37,27.85,7.83,-52.3,-6.4,5667,5974,176,2834,3.05,0,14.643,73,5.62,18,34,159.3,,,,,,,,,16.44447,81.71066
10/11/17,7:15:47,27.84,7.78,-49.7,-5.2,5571,5871,180,2785,2.99,0,14.646,71.3,5.49,17.2,32.9,160.3,,,,,,,,,16.44461,81.71057
10/11/17,7:15:57,27.84,7.74,-47.5,-4.1,5531,5829,181,2765,2.97,0,14.645,69.9,5.38,17.6,32,161.3,,,,,,,,,16.44479,81.71043
10/11/17,7:16:07,27.82,7.71,-45.8,-3.3,5390,5679,186,2695,2.89,0,14.644,68.9,5.31,17.2,31.2,162.1,,,,,,,,,16.44494,81.71028
10/11/17,7:16:17,27.81,7.69,-44.3,-2.5,5272,5554,190,2636,2.82,0,14.643,67.9,5.23,16.6,30.4,163,,,,,,,,,16.44494,81.71028
10/11/17,7:16:27,27.83,7.66,-42.9,-1.7,5214,5495,192,2607,2.79,0,14.642,67.3,5.19,18.1,29.8,163.7,,,,,,,,,16.44521,81.71003
10/11/17,7:16:37,27.83,7.64,-41.7,-1,5164,5441,194,2582,2.76,0,14.641,66.4,5.12,22.5,29,164.7,,,,,,,,,16.44532,81.70991
10/11/17,7:16:47,27.83,7.62,-40.6,-0.2,5097,5370,196,2548,2.72,0,14.644,66.1,5.09,18.5,28.7,165,,,,,,,,,16.44543,81.70973
10/11/17,7:16:57,27.83,7.6,-39.3,0.8,5227,5508,191,2614,2.8,0,14.643,65,5.01,18.6,28,165.9,,,,,,,,,16.44553,81.70956
10/11/17,7:17:07,27.82,7.59,-38.8,0.8,5060,5332,198,2530,2.7,0,14.643,64.5,4.97,18.9,27.7,166.2,,,,,,,,,16.44561,81.7094
10/11/17,7:17:17,27.82,7.58,-38.6,0.7,4741,4995,211,2370,2.52,0,14.643,64.5,4.98,18.5,27.3,166.6,,,,,,,,,16.44566,81.70923
10/11/17,7:17:27,27.81,7.58,-38.4,0.3,4408,4644,227,2204,2.33,0,14.645,64.3,4.97,17.4,26.6,167.5,,,,,,,,,16.44571,81.70904
10/11/17,7:17:37,27.8,7.57,-37.9,0.4,4337,4568,231,2169,2.29,0,14.644,63.3,4.9,17.5,25.8,168.6,,,,,,,,,16.44576,81.70888
10/11/17,7:17:47,27.8,7.56,-37.4,0.7,4052,4267,247,2026,2.13,0,14.645,63.5,4.92,17.7,24.4,170.5,,,,,,,,,16.44582,81.70868
10/11/17,7:17:57,27.8,7.55,-36.9,1.1,3915,4123,255,1958,2.06,0,14.643,63.5,4.92,17.4,24.1,170.9,,,,,,,,,16.4459,81.70851
10/11/17,7:18:07,27.81,7.56,-37,0.3,3512,3699,285,1756,1.83,0,14.642,63.6,4.93,17.8,23.6,171.6,,,,,,,,,16.44597,81.70836
10/11/17,7:18:17,27.84,7.56,-37,-0.1,3214,3388,311,1607,1.67,0,14.644,64.5,5,17.6,22.1,173.9,,,,,,,,,16.44604,81.7082
10/11/17,7:18:27,27.85,7.54,-36.1,1,3196,3369,313,1598,1.66,0,14.644,65.4,5.07,17.6,20.6,176.2,,,,,,,,,16.44611,81.70802
10/11/17,7:18:37,27.84,7.53,-35.6,2.1,3083,3249,324,1541,1.6,0,14.643,64.9,5.03,18.5,19.6,177.9,,,,,,,,,16.44616,81.70784
10/11/17,7:18:47,27.86,7.55,-36.7,0,2658,2802,376,1329,1.37,0,14.643,66.9,5.19,17.8,19.5,178.2,,,,,,,,,16.44623,81.70768
10/11/17,7:18:57,27.88,7.56,-37.3,-1.2,2314,2441,432,1157,1.18,0,14.641,69.2,5.38,23.3,17.4,182,,,,,,,,,16.44627,81.70753
10/11/17,7:19:07,27.86,7.54,-36.3,1.3,2404,2535,416,1202,1.23,0,14.641,68.3,5.3,18.6,15.5,186,,,,,,,,,16.44632,81.70733
10/11/17,7:19:17,27.87,7.56,-37,0.1,2012,2121,497,1006,1.02,0,14.641,69.3,5.39,18.7,16.1,184.7,,,,,,,,,16.44638,81.70718
10/11/17,7:19:27,27.88,7.55,-36.6,0.8,1962,2069,510,981,0.99,0,14.641,70.3,5.47,18.7,14.8,187.4,,,,,,,,,16.44645,81.70699
10/11/17,7:19:37,27.89,7.57,-37.6,-0.2,1797,1896,556,899,0.9,0,14.642,70.3,5.47,20,15,187,,,,,,,,,16.44651,81.70682
10/11/17,7:19:47,27.96,7.56,-37.4,-1.3,1147,1211,872,573,0.57,0,14.642,75.9,5.9,20.7,15.2,186.6,,,,,,,,,16.44657,81.70664
10/11/17,7:19:57,27.96,7.6,-39.5,-2.8,774,817,1292,387,0.38,0,14.639,76.8,5.98,22.5,10.8,198.2,,,,,,,,,16.44662,81.70648
10/11/17,7:20:07,27.95,7.53,-35.4,2.3,1245,1315,803,622,0.62,0,14.642,78.5,6.11,19.8,10.9,197.9,,,,,,,,,16.44667,81.70632
10/11/17,7:20:17,27.92,7.53,-35.5,5.2,1477,1559,677,738,0.74,0,14.645,75.5,5.87,20.7,9.6,202.1,,,,,,,,,16.44668,81.70616
10/11/17,7:20:27,27.96,7.52,-34.8,4.9,1281,1353,781,640,0.63,0,14.643,78.8,6.13,26.1,10.4,199.6,,,,,,,,,16.44669,81.70602
10/11/17,7:20:37,28.05,7.58,-38.5,-1,667,706,1499,334,0.32,0,14.643,81.1,6.31,23.5,8.2,207.7,,,,,,,,,16.44669,81.70602
10/11/17,7:20:47,27.19,7.32,-23.4,28,4879,5083,205,2440,2.6,0,14.642,47.6,3.71,9.4,7.6,210.3,,,,,,,,,16.44669,81.70602
10/11/17,7:20:57,27.12,7.33,-24.3,24.6,4773,4965,210,2386,2.54,0,14.641,35.5,2.78,7.5,19.1,178.4,,,,,,,,,16.44691,81.70549
10/11/17,7:21:07,27.11,7.32,-23.8,22.2,4701,4889,213,2351,2.5,0,14.644,29.3,2.29,7.1,21.5,174.3,,,,,,,,,16.44699,81.70536
10/11/17,7:21:17,27.08,7.32,-23.3,20.1,4592,4774,218,2296,2.44,0,14.645,25.5,1.99,7.2,21.7,173.9,,,,,,,,,16.44706,81.7052
10/11/17,7:21:27,27.07,7.31,-22.8,18.2,4484,4661,223,2242,2.38,0,14.643,23.1,1.81,7.4,21.7,174,,,,,,,,,16.44713,81.70507
10/11/17,7:21:37,27.05,7.3,-22.6,16.2,4338,4507,231,2169,2.3,0,14.644,19.8,1.55,5.9,21.6,174.1,,,,,,,,,16.44718,81.70497
10/11/17,7:21:47,27.03,7.3,-22.2,14.8,4273,4438,234,2137,2.26,0,14.644,18,1.41,5.6,21.2,174.7,,,,,,,,,16.44722,81.70488
10/11/17,7:21:57,26.99,7.29,-22,13.1,4109,4264,243,2054,2.17,0,14.645,16.2,1.27,5.6,20.9,175.1,,,,,,,,,16.44724,81.70482
10/11/17,7:22:07,26.98,7.28,-21.5,11.9,4076,4230,245,2038,2.15,0,14.645,14.9,1.17,5.6,20.6,175.6,,,,,,,,,16.44725,81.70472
10/11/17,7:22:17,26.97,7.28,-21.3,10.7,4021,4172,249,2010,2.12,0,14.645,13.8,1.09,5.4,20.4,175.9,,,,,,,,,16.44726,81.70468
10/11/17,7:22:27,26.96,7.27,-20.9,9.8,4000,4149,250,2000,2.11,0,14.645,13,1.02,5.7,20.3,176.1,,,,,,,,,16.44728,81.70461
10/11/17,7:22:37,26.97,7.26,-20.3,9.3,4179,4335,239,2090,2.21,0,14.645,12.8,1,6.1,20.1,176.4,,,,,,,,,16.4473,81.70459
10/11/17,7:22:47,26.98,7.26,-20.1,8.5,4240,4400,236,2120,2.24,0,14.643,12.4,0.98,6.4,20.3,176,,,,,,,,,16.44728,81.70459
10/11/17,7:22:57,26.99,7.25,-19.7,6.1,4320,4484,231,2160,2.29,0,14.643,12.2,0.96,559,20.7,175.5,,,,,,,,,16.44727,81.70459
10/11/17,7:23:07,26.99,7.25,-19.4,3.4,4286,4449,233,2143,2.27,0,14.644,12,0.94,514,20.7,175.4,,,,,,,,,16.44727,81.70459
10/11/17,7:23:17,26.99,7.24,-19.3,0.3,4265,4427,234,2132,2.26,0,14.645,11.6,0.91,68.7,20.8,175.3,,,,,,,,,16.44728,81.70461
10/11/17,7:23:27,26.98,7.24,-19.1,-1.4,4145,4301,241,2073,2.19,0,14.646,12.2,0.96,6.1,20.8,175.4,,,,,,,,,16.44726,81.70476
10/11/17,7:23:37,26.99,7.24,-19,-2.2,4113,4269,243,2057,2.17,0,14.649,12.1,0.95,8.4,20.7,175.4,,,,,,,,,16.44719,81.70486
10/11/17,7:23:47,27.02,7.23,-18.4,-1.9,4314,4480,232,2157,2.28,0,14.648,12.9,1.01,9.2,20.3,176.1,,,,,,,,,16.44712,81.70504
10/11/17,7:23:57,27.04,7.22,-18.1,-1.9,4427,4599,226,2214,2.35,0,14.647,13.7,1.08,8.2,20.7,175.6,,,,,,,,,16.44704,81.7052
10/11/17,7:24:07,27.06,7.22,-17.9,-1.9,4523,4700,221,2262,2.4,0,14.648,14.4,1.13,20.8,21.1,174.9,,,,,,,,,16.44695,81.70536
10/11/17,7:24:17,27.09,7.22,-17.7,-1.8,4667,4853,214,2334,2.48,0,14.648,14.2,1.11,8,21.3,174.6,,,,,,,,,16.44684,81.70554
10/11/17,7:24:27,27.38,7.37,-26.2,-15.2,1765,1845,567,883,0.89,0,14.649,18.3,1.43,25.2,21.7,173.9,,,,,,,,,16.44674,81.70558
10/11/17,7:24:37,28.04,7.52,-34.7,-28.9,349,369,2865,175,0.17,0,14.649,60.7,4.73,25.3,21.9,173.7,,,,,,,,,16.44671,81.70558
10/11/17,7:24:47,28.04,7.46,-31.6,-21.3,286,303,3497,143,0.13,0,14.647,68.1,5.3,23.5,8.5,206.4,,,,,,,,,16.4467,81.70555
10/11/17,7:24:57,28.04,7.44,-30.3,-15.4,282,298,3546,141,0.13,0,14.651,72.9,5.68,24.5,7.8,209.6,,,,,,,,,16.4467,81.70555
10/11/17,7:25:07,28.03,7.44,-30.2,-12,262,278,3817,131,0.12,0,14.649,75.8,5.91,39.2,7.3,211.4,,,,,,,,,16.44673,81.70516
10/11/17,7:25:17,28.03,7.44,-30.6,-8.3,244,258,4098,122,0.11,0,14.65,78.2,6.09,35,7,213,,,,,,,,,16.44677,81.70497
10/11/17,7:25:27,28.02,7.44,-30.2,-4.7,253,268,3953,127,0.12,0,14.65,79.5,6.2,23.5,6.9,213.4,,,,,,,,,16.4468,81.70482
10/11/17,7:25:37,28.02,7.43,-30.1,-2.2,242,256,4132,121,0.11,0,14.65,80.7,6.29,24.6,6.8,213.9,,,,,,,,,16.44684,81.70465
10/11/17,7:25:47,28.02,7.43,-30.1,0.4,237,251,4219,119,0.11,0,14.653,81.6,6.36,24.6,6.6,214.8,,,,,,,,,16.44688,81.70448
10/11/17,7:25:57,28.02,7.44,-30.3,2.2,218,231,4587,109,0.1,0,14.651,82.3,6.41,25.4,6.6,214.8,,,,,,,,,16.44693,81.70431
10/11/17,7:26:07,28.02,7.44,-30.4,4.1,222,235,4505,111,0.1,0,14.651,82.7,6.45,25.5,6.5,215.8,,,,,,,,,16.44696,81.70415
10/11/17,7:26:17,28.03,7.45,-31.2,5.2,226,239,4425,113,0.11,0,14.65,82.4,6.43,27,6.4,215.9,,,,,,,,,16.44699,81.70406
10/11/17,7:26:27,28.02,7.45,-31.1,6.8,223,236,4484,112,0.1,0,14.652,82.3,6.42,26.9,6.5,215.3,,,,,,,,,16.44701,81.704
10/11/17,7:26:37,28.02,7.46,-31.8,8,211,223,4739,106,9.86E-02,0,14.65,82.2,6.41,26.9,6.4,215.9,,,,,,,,,16.44703,81.70399
10/11/17,7:26:47,28.02,7.52,-34.7,6.6,211,223,4739,106,9.85E-02,0,14.652,80,6.23,28.6,6.5,215.6,,,,,,,,,16.44702,81.70399
10/11/17,7:26:57,28.02,7.51,-34.3,8.8,211,223,4739,106,9.85E-02,0,14.65,79.7,6.21,31.1,6.6,215.2,,,,,,,,,16.44701,81.70399
10/11/17,7:27:07,28.02,7.49,-33.3,11,211,223,4739,106,9.85E-02,0,14.652,80.9,6.3,31.9,6.6,215,,,,,,,,,16.447,81.70396
10/11/17,7:27:17,28.02,7.48,-32.6,13,211,224,4739,106,9.86E-02,0,14.651,80.9,6.31,27,6.7,214.7,,,,,,,,,16.44701,81.70399
10/11/17,7:27:27,28.02,7.43,-30.1,17.1,211,224,4739,106,9.86E-02,0,14.654,82.4,6.43,25.9,6.3,216.7,,,,,,,,,16.447,81.70403
10/11/17,7:27:37,28.02,7.42,-29.4,18.3,215,227,4651,107,0.1,0,14.651,83.8,6.53,27.1,6.1,217.8,,,,,,,,,16.44695,81.70419
10/11/17,7:27:47,28.03,7.42,-29.3,19.3,238,252,4202,119,0.11,0,14.652,84.5,6.58,31.6,6.2,217.4,,,,,,,,,16.44691,81.70437
10/11/17,7:27:57,28.03,7.43,-29.9,19.7,236,250,4237,118,0.11,0,14.654,84.8,6.61,26.3,6.3,216.7,,,,,,,,,16.44688,81.70456
10/11/17,7:28:07,28.03,7.42,-29.5,20.7,245,260,4082,123,0.11,0,14.652,85,6.63,26.6,6.3,216.8,,,,,,,,,16.44683,81.70477
10/11/17,7:28:17,28.03,7.42,-29.5,21.8,282,299,3546,141,0.13,0,14.651,85.2,6.64,29.9,6.3,216.6,,,,,,,,,16.44678,81.70495
10/11/17,7:28:27,28.04,7.43,-29.8,22.5,288,304,3472,144,0.14,0,14.652,85.2,6.64,25.9,6.5,215.6,,,,,,,,,16.44674,81.70514
10/11/17,7:28:37,28.04,7.43,-29.9,22.7,291,308,3436,146,0.14,0,14.652,85.4,6.65,24.7,6.6,215.2,,,,,,,,,16.44671,81.70536
10/11/17,7:28:47,28.04,7.42,-29.4,24,355,375,2817,177,0.17,0,14.653,85.4,6.65,40.4,6.6,215.2,,,,,,,,,16.44669,81.70558
10/11/17,7:28:57,28.04,7.4,-28.1,28.9,834,882,1199,417,0.41,0,14.651,84.4,6.57,22.7,6.8,214.1,,,,,,,,,16.44669,81.70572
10/11/17,7:29:07,27.64,7.33,-24,39.5,2448,2571,408,1224,1.25,0,14.652,65.1,5.08,17.8,7.6,210.2,,,,,,,,,16.44669,81.70572
10/11/17,7:29:17,27.89,7.44,-30.3,28.5,1238,1306,808,619,0.61,0,14.653,69.8,5.44,23.4,13.9,189.5,,,,,,,,,16.44669,81.70572
10/11/17,7:29:27,27.9,7.42,-29.5,28.7,1180,1245,847,590,0.58,0,14.653,70.3,5.48,21.3,12.1,194.3,,,,,,,,,16.44669,81.70572
10/11/17,7:29:37,27.88,7.41,-28.7,29.7,1356,1430,737,678,0.67,0,14.652,69.8,5.44,21.7,11.2,196.9,,,,,,,,,16.44672,81.70584
10/11/17,7:29:47,27.86,7.41,-28.7,30,1533,1616,652,766,0.77,0,14.653,67.9,5.29,20.4,11.1,197.2,,,,,,,,,16.44672,81.70584
10/11/17,7:29:57,27.92,7.41,-28.9,29.5,1251,1321,799,626,0.62,0,14.655,68.6,5.34,23.2,11.9,194.9,,,,,,,,,16.44672,81.70586
10/11/17,7:30:07,27.95,7.46,-31.4,24.6,1027,1085,974,514,0.5,0,14.651,73.8,5.75,21.8,10.8,198.4,,,,,,,,,16.44672,81.70586
